framework              , test                                                         , time     , p95      , p99      , cv       , group          , family                   , metrics                                                                                         
reflex                 , 10x5 - 2 sources - read 20% (simple component)               , 372.12   , 372.12   , 372.12   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=3180010 nodesVisited=3180010 edgesTraversed=6360020 sinkReads=1200002           
reflex                 , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 306.90   , 306.90   , 306.90   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1140004 nodesVisited=1140004 edgesTraversed=6839936 sinkReads=30002             
reflex                 , 1000x12 - 4 sources - dynamic (large web app)                , 489.58   , 489.58   , 489.58   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1473786 nodesVisited=1473786 edgesTraversed=5891713 sinkReads=7001000           
reflex                 , 1000x5 - 25 sources (wide dense)                             , 803.97   , 803.97   , 803.97   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=735756 nodesVisited=735756 edgesTraversed=18393900 sinkReads=3001000            
reflex                 , 5x500 - 3 sources (deep)                                     , 257.94   , 257.94   , 257.94   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=1246502 nodesVisited=1246502 edgesTraversed=3739506 sinkReads=2505              
alien-signals          , avoidablePropagation                                         , 513.17   , 513.17   , 513.17   , 0.000    , baseline       , selective propagation    ,                                                                                                 
alien-signals          , broadPropagation                                             , 519.36   , 519.36   , 519.36   , 0.000    , baseline       , wide fan-out             ,                                                                                                 
alien-signals          , deepPropagation                                              , 182.30   , 182.30   , 182.30   , 0.000    , pull           , linear chain             ,                                                                                                 
alien-signals          , diamond                                                      , 438.82   , 438.82   , 438.82   , 0.000    , baseline       , diamond                  ,                                                                                                 
alien-signals          , mux                                                          , 504.37   , 504.37   , 504.37   , 0.000    , dynamic        , dynamic branch           ,                                                                                                 
alien-signals          , repeatedObservers                                            , 130.57   , 130.57   , 130.57   , 0.000    , baseline       , duplicate observer       ,                                                                                                 
alien-signals          , triangle                                                     , 160.49   , 160.49   , 160.49   , 0.000    , baseline       , glitch-free triangle     ,                                                                                                 
alien-signals          , unstable                                                     , 137.94   , 137.94   , 137.94   , 0.000    , dynamic        , dynamic dependency churn ,                                                                                                 
alien-signals          , manyEffectsFromOneSource                                     , 342.35   , 342.35   , 342.35   , 0.000    , push           , wide fan-out             , checksum=180075672000                                                                           
alien-signals          , manySourcesIntoOneComputedEffectWithDirect                   , 233.66   , 233.66   , 233.66   , 0.000    , pull           , wide fan-in              , checksum=1372929289844                                                                          
alien-signals          , manySourcesIntoOneComputedEffect                             , 222.70   , 222.70   , 222.70   , 0.000    , pull           , wide fan-in              , checksum=1331323690944                                                                          
alien-signals          , manySourcesIntoOneDirectEffect                               , 84.84    , 84.84    , 84.84    , 0.000    , pull           , wide fan-in              , checksum=41605598900                                                                            
