#STAMP {"kind":"bench-stamp/v1","date":"2026-07-17T01:17:48.978Z","protocol":"isolated-per-row","reps":3,"node":"v26.3.1","arch":"arm64","platform":"darwin","cpu":"Apple M4 Pro","gcExposed":true,"enginePath":"/Users/zakkster/Work/Portfolio/LiteLibrariesSuite/LiteSignal1.5.0-beta/Signal.js","engineSha256":"1b7f332d6e55edcce9cfe3afa525e14db95521bc69ead0cf748d6d505f7e6d7f","harnessPath":"/Users/zakkster/Work/Portfolio/LiteLibrariesSuite/LiteSignal1.5.0-beta/bench/mirror.mjs","harnessSha256":"b7adc35f38454cdcb612557414a92ead3780d32f6e0ef9b935c8f052c29dcbbc","config":{"maxNodes":131072,"maxLinks":1048576,"prealloc":"lazy","onCapacityExceeded":"grow"},"extra":{"ceiling_ms":1500,"quick":false,"adapter":"andrii-canonical","scenario":"layered full-drain warm"}}
framework , test , time , metrics
lite-signal            , createComputations0to1                                       , 13.84    , 
lite-signal            , createComputations1to1                                       , 14.38    , 
lite-signal            , createComputations2to1                                       , 2.43     , 
lite-signal            , createComputations4to1                                       , 1.77     , 
lite-signal            , createComputations1000to1                                    , 0.02     , 
lite-signal            , createComputations1to2                                       , 14.02    , 
lite-signal            , createComputations1to4                                       , 12.21    , 
lite-signal            , createComputations1to8                                       , 14.80    , 
lite-signal            , createComputations1to1000                                    , 11.15    , 
lite-signal            , updateComputations1to1                                       , 3.50     , 
lite-signal            , updateComputations2to1                                       , 1.49     , 
lite-signal            , updateComputations4to1                                       , 1.43     , 
lite-signal            , updateComputations1000to1                                    , 0.03     , 
lite-signal            , updateComputations1to2                                       , 2.23     , 
lite-signal            , updateComputations1to4                                       , 1.59     , 
lite-signal            , updateComputations1to1000                                    , 0.11     , 
lite-signal            , 64x6 - 4 sources - dynamic - read 12% (dashboard selective reads) , 192.16   , nodesRecomputed=2642029 nodesVisited=2642029 edgesTraversed=10568081 sinkReads=960008 flushPasses=undefined poolGrowths=0
lite-signal            , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 274.93   , nodesRecomputed=4736332 nodesVisited=4736332 edgesTraversed=14208887 sinkReads=900010 flushPasses=undefined poolGrowths=0
lite-signal            , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 164.81   , nodesRecomputed=1765496 nodesVisited=1765496 edgesTraversed=8827231 sinkReads=660022 flushPasses=undefined poolGrowths=0
lite-signal            , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 361.47   , nodesRecomputed=3984210 nodesVisited=3984210 edgesTraversed=15936789 sinkReads=720024 flushPasses=undefined poolGrowths=0
lite-signal            , 256->512x32 - fanIn 4 - layered-dag - 4 sources (layered full-drain cold) , 44.98    , nodesRecomputed=249624 nodesVisited=249624 edgesTraversed=998496 sinkReads=61952 flushPasses=undefined poolGrowths=0
